brand,name,product_type,ingredient,price,rank
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,POLYGLYCERYL-4 ISOSTEARATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,ALUMINUM HYDROXIDE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,HEXYL LAURATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,STEARIC ACID,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CALCIUM STEARATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CAPRYLYL GLYCOL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,TRIETHOXYCAPRYLYLSILANE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,ETHYLHEXYLGLYCERIN,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CITRUS MEDICA LIMONUM (LEMON) PEEL OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,TOCOPHERYL ACETATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,SORBITAN ISOSTEARATE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,PHENOXYETHANOL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CITRUS AURANTIUM BERGAMIA (BERGAMOT) FRUIT OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,1,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,2-HEXANEDIOL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,DISODIUM EDTA,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CITRUS AURANTIFOLIA (LIME) OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,VITIS VINIFERA (GRAPE) SEED OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,PUNICA GRANATUM SEED OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,PINUS SYLVESTRIS LEAF OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,PERSEA GRATISSIMA (AVOCADO) OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,NIACINAMIDE,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CITRUS GRANDIS (GRAPEFRUIT) PEEL OIL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,CHOLESTEROL,38,4.1
IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,ANTHEMIS NOBILIS FLOWER WATER,38,4.1
