ingredient,cmr,product_type
"2,7-NAPHTHALENEDIOL",,Hair Dye Substance In Non- Oxidative Hair Dye Products
M-AMINOPHENOL,,Hair Dye Substance In Oxidative Hair Dye Products
M-AMINOPHENOL,,Products Intended For Colouring Eyelashes
M-AMINOPHENOL HCL,,Hair Dye Substance In Oxidative Hair Dye Products
M-AMINOPHENOL HCL,,Products Intended For Colouring Eyelashes
M-AMINOPHENOL SULFATE,,Hair Dye Substance In Oxidative Hair Dye Products
M-AMINOPHENOL SULFATE,,Products Intended For Colouring Eyelashes
"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",,Hair Dye Substance In Oxidative Hair Dye Products
HC BLUE NO 11,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HYDROXYETHYL-2-NITRO-P-TOLUIDINE,,Hair Dye Substance In Oxidative Hair Dye Products
HYDROXYETHYL-2-NITRO-P-TOLUIDINE,,Hair Dye Substance In Non-Oxidative Hair Dye Products
2-HYDROXYETHYL PICRAMIC ACID,Reprotoxic Cat. 2,Hair Dye Substance In Oxidative Hair Day Products
2-HYDROXYETHYL PICRAMIC ACID,Reprotoxic Cat. 2,Hair Dye Substance In Non-Oxidative Hair Day Products
P-METHYLAMINOPHENOL,,Hair Dye In Oxidative Hair Dye Products
HC VIOLET NO 2,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC BLUE NO. 12,,Hair Dye Substance In Oxidative Hair Dye Products
HC BLUE NO. 12,,Hair Dye Substance In Non-Oxidative Hair Dye Products
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE 1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",,Hair Dye Substance In Oxidative Hair Dye Products
"1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE 1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL",,Hair Dye Substance In Non-Oxidative Hair Dye Products
"3-AMINO-2,4-DICHLOROPHENOL",,Hair Dye Substance Oxidative Hair Dye Products
"3-AMINO-2,4-DICHLOROPHENOL",,Hair Dye Substance In Non-Oxidative Hair Dye Products
PHENYL METHYL PYRAZOLONE,,Hair Dye Subtance In Oxidative Hair Dye Products
2-METHYL-5-HYDROXYETHYL AMINOPHENOL,,Hair Dye Substance In Oxidatie Hair Dye Products.
2-METHYL-5-HYDROXYETHYL AMINOPHENOL,,Products Intended For Colouring Eyelashes
HYDROXYBENZOMORPHOLINE,,Hair Dye Substance In Oxidative Hair Dye Products
HC YELLOW NO. 10,,Hair Dye Substance In Non-Oxidative Hair Dyes Products
"2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL",,Hair Dye Substance In Oxidative Hair Dye Products
HC VIOLET NO 1,,Hair Dye Substance In Oxidative Hair Dye Products
HC VIOLET NO 1,,Hair Dye Substance In Non-Oxidative Hair Dye Products
3-METHYLAMINO-4-NITROPHENOXYETHANOL,,Hair Due Substance In Non-Oxidative Hair Dye Products
2-HYDROXYETHYLAMINO-5-NITROANISOLE,,Hair Dye Substance In Non-Oxidative Hair Dye Products
HC RED NO 13,,Hair Due Substance In Oxidative Hair Dye Products
HC RED NO 13,,Hair Due Substance In Non-Oxidative Hair Dye Products
"1,5-NAPHTHALENEDIOL",,A) Hair Dye Substance In Oxidative Hair Dye Products B) Hair Dye Substance In Non-Oxidative Hair Dye Products
HYDROXYPROPYL BIS(N-HYDROXYETHYL-P-PHENYLENEDIAMINE) HCL,,Hair Dye Substance In Oxidative Hair Dye Products
4-NITRO-O-PHENYLENEDIAMINE,,Hair Dye Substance In Oxidative Hair Dye Products
4-AMINO-2-HYDROXYTOLUENE,,Hair Dye Substance In Oxidative Hair Dye Products
4-AMINO-2-HYDROXYTOLUENE,,Products Intented For Colouring Eyelashes
"2,4-DIAMINOPHENOXYETHANOL HCL",,Hair Dye Substance In Oxidative Hair Dye Products
"2,4-DIAMINOPHENOXYETHANOL HCL",,Products Intended For Colouring Eyelashes
2-METHYLRESORCINOL,,Hair Dye Sub­Stance In Oxidat­Ive Hair Dye Products
2-METHYLRESORCINOL,,Hair Dye Sub­Stance In Non-Oxidative Hair Dye Products
2-METHYLRESORCINOL,,Products In­Tended For Col­Ouring Eyelashes
4-AMINO-M-CRESOL,,Hair Dye Substance In Oxidative Hair Dye Products
4-AMINO-M-CRESOL,,Products Intended For Colouring Eyelashes
2-AMINO-4-HYDROXYETHYLAMINOANISOLE,,Hair Dye Substance In Oxidative Hair Dye Products
2-AMINO-4-HYDROXYETHYLAMINOANISOLE,,Products Intended For Colouring Eyelashes
2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,,Hair Dye Substance In Oxidative Hair Dye Products
2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,,Products Intended For Colouring Eyelashes
"HYDROXYETHYL-3,4-METHYLENEDIOXYANILINE HCL",,Hair Dye Substance In Oxidative Hair Dye Products
HC BLUE NO 2,,Hair Dye Substance In Non-Oxidative Hair Dye Products
3-NITRO-P-HYDROXYETHYLAMINOPHENOL,,Hair Dye Substance In Oxidative Hair Dye Products
3-NITRO-P-HYDROXYETHYLAMINOPHENOL,,Hair Dye Substance In Non-Oxidative Hair Dye Products
4-NITROPHENYL AMINOETHYLUREA,,Hair Dye Substance In Oxidative Hair Dye Products
4-NITROPHENYL AMINOETHYLUREA,,Hair Dye Substance In Non-Oxidative Hair Dye Products
