product_name,brand,ingredients_text,categories,country,barcode,source
Baked Wheat Wafers,"Price Chopper,  Aapri Cosmetics Inc","Whole wheat, soybean oil, sea salt. (bht added to packaging to help preserve freshness).",,United States,0041753088109,open_beauty_facts_api
Hot Pepper Jelly,Bari Cosmetics Ltd.,"Sugar, sweet peppers, cider vinegar, cherry peppers, jalapenos, pectin & habaneros",,United States,0081159549232,open_beauty_facts_api
Re-balance Serum,No Cosmetics,,,en:germany,4260524940282,open_beauty_facts_api
Caro light,Angel cosmetics,,,en:Tanzania,9501101370104,open_beauty_facts_api
EYEBROW PENCIL Brow-Nie 99W,Manhattan Cosmetics,,,en:germany,4002554160205,open_beauty_facts_api
ácido hialurónico,Delia cosmetics,,,en:Colombia,5906750806013,open_beauty_facts_api
protector solar,miss cosmétics,,,en:Colombia,7709236000091,open_beauty_facts_api
macérât d.ail,so fresh cosmetics,,,en:Morocco,6111271521607,open_beauty_facts_api
120h Liquid Hydrator,no cosmetics,,,en:germany,4260524941272,open_beauty_facts_api
"vasser stoffperoxid 2,8",cosmetic solution,,,en:germany,4820206964243,open_beauty_facts_api
Bodylotion,No Cosmetics,,,en:germany,4260524941302,open_beauty_facts_api
agua micelar,Delia cosmetics,,,en:Colombia,5908750847706,open_beauty_facts_api
crema facial protectora bb cream,Delia cosmetic,,,en:Colombia,7101010050405,open_beauty_facts_api
Revitabrow Advanced,RevitaLash Cosmetics,"Aqua / Water / Eau, Disodium Phosphate,, Glycerin, Biotin, Cellulose Gum, Phenoxyethanol,, Chlorphenesin, Phosphoric Acid, Dechloro, Dihydroxy Difluoro Ethylcloprostenolamide,, Butylene Glycol, Calendula Officinalis, Extract, Panax Ginseng Extract, Serenoa, Serrulata Extract, Camellia Oleifera Extract,, Triticum Vulgare Germ Protein, Pentylene, Glycol, Swertia Japonica Extract, Biotinoyl, Tripeptide-1, Octapeptide-2.",en:eyebrow-enhancer,en:united-states,0893689001266,open_beauty_facts_api
Gel limpiador,Delia cosmetics,,,en:Colombia,2947450485149,open_beauty_facts_api
cola de caballo,Andrea cosmetics,,,en:Colombia,7705513004189,open_beauty_facts_api
E6SKINWHITENINGBODYLOTION,visible image cosmetics LTD,,,en:Nigeria,6156000071213,open_beauty_facts_api
SKINSEPT,Dernier cosmetics,,,en:Venezuela,7596049000291,open_beauty_facts_api
keya white plus,keya cosmetic limited,,,en:Bangladesh,8941124000953,open_beauty_facts_api
Dr derma,inventine cosmetics,,,en:Pakistan,0120181475794,open_beauty_facts_api
Daily skin guard facial mist,nø cosmetic,,,en:germany,0426052494334,open_beauty_facts_api
haartonikum,alverde cosmetics,,,en:Germany,4067796081992,open_beauty_facts_api
champú cacao antiencrespamiento,hd cosmetic's,,,en:Venezuela,7593723002121,open_beauty_facts_api
